username,repo_name,stars,url
sindresorhus,awesome,173000,https://github.com/sindresorhus/awesome
vinta,awesome-python,105000,https://github.com/vinta/awesome-python
avelino,awesome-go,69600,https://github.com/avelino/awesome-go
awesome-selfhosted,awesome-selfhosted,66400,https://github.com/awesome-selfhosted/awesome-selfhosted
trimstray,the-book-of-secret-knowledge,50900,https://github.com/trimstray/the-book-of-secret-knowledge
papers-we-love,papers-we-love,49800,https://github.com/papers-we-love/papers-we-love
521xueweihan,HelloGitHub,47700,https://github.com/521xueweihan/HelloGitHub
Hack-with-Github,Awesome-Hacking,47400,https://github.com/Hack-with-Github/Awesome-Hacking
jaywcjlove,awesome-mac,45800,https://github.com/jaywcjlove/awesome-mac
DopplerHQ,awesome-interview-questions,43900,https://github.com/DopplerHQ/awesome-interview-questions
sindresorhus,awesome-nodejs,42800,https://github.com/sindresorhus/awesome-nodejs
wasabeef,awesome-android-ui,41500,https://github.com/wasabeef/awesome-android-ui
vsouza,awesome-ios,38500,https://github.com/vsouza/awesome-ios
prakhar1989,awesome-courses,38400,https://github.com/prakhar1989/awesome-courses
Solido,awesome-flutter,37900,https://github.com/Solido/awesome-flutter
binhnguyennus,awesome-scalability,36200,https://github.com/binhnguyennus/awesome-scalability
MunGell,awesome-for-beginners,35900,https://github.com/MunGell/awesome-for-beginners
fffaraz,awesome-cpp,34100,https://github.com/fffaraz/awesome-cpp
tiimgreen,github-cheat-sheet,33300,https://github.com/tiimgreen/github-cheat-sheet
dypsilon,frontend-dev-bookmarks,32700,https://github.com/dypsilon/frontend-dev-bookmarks
akullpp,awesome-java,30400,https://github.com/akullpp/awesome-java
dkhamsing,open-source-ios-apps,28400,https://github.com/dkhamsing/open-source-ios-apps
serhii-londar,open-source-mac-os-apps,28400,https://github.com/serhii-londar/open-source-mac-os-apps
brillout,awesome-react-components,28300,https://github.com/brillout/awesome-react-components
ziadoz,awesome-php,25900,https://github.com/ziadoz/awesome-php
herrbischoff,awesome-macos-command-line,25600,https://github.com/herrbischoff/awesome-macos-command-line
goabstract,Awesome-Design-Tools,23500,https://github.com/goabstract/Awesome-Design-Tools
alebcay,awesome-shell,22300,https://github.com/alebcay/awesome-shell
rust-unofficial,awesome-rust,22300,https://github.com/rust-unofficial/awesome-rust
sindresorhus,awesome-electron,22100,https://github.com/sindresorhus/awesome-electron
