username,repo_name,stars,url
metabase,metabase,26300,https://github.com/metabase/metabase
eclipse,deeplearning4j,12200,https://github.com/eclipse/deeplearning4j
LightTable,LightTable,11600,https://github.com/LightTable/LightTable
kanaka,mal,8200,https://github.com/kanaka/mal
lk-geimfari,awesomo,8100,https://github.com/lk-geimfari/awesomo
logseq,logseq,6700,https://github.com/logseq/logseq
penpot,penpot,5000,https://github.com/penpot/penpot
tonsky,datascript,4400,https://github.com/tonsky/datascript
reagent-project,reagent,4300,https://github.com/reagent-project/reagent
riemann,riemann,4100,https://github.com/riemann/riemann
weavejester,compojure,3900,https://github.com/weavejester/compojure
bbatsov,clojure-style-guide,3700,https://github.com/bbatsov/clojure-style-guide
izhangzhihao,intellij-rainbow-brackets,3600,https://github.com/izhangzhihao/intellij-rainbow-brackets
ring-clojure,ring,3400,https://github.com/ring-clojure/ring
status-im,status-react,3300,https://github.com/status-im/status-react
clojure-emacs,cider,3200,https://github.com/clojure-emacs/cider
bhauman,lein-figwheel,2900,https://github.com/bhauman/lein-figwheel
viebel,klipse,2800,https://github.com/viebel/klipse
tallesl,Rich-Hickey-fanclub,2800,https://github.com/tallesl/Rich-Hickey-fanclub
twosigma,beakerx,2600,https://github.com/twosigma/beakerx
pedestal,pedestal,2400,https://github.com/pedestal/pedestal
weavejester,hiccup,2300,https://github.com/weavejester/hiccup
babashka,babashka,2300,https://github.com/babashka/babashka
razum2um,awesome-clojure,2300,https://github.com/razum2um/awesome-clojure
http-kit,http-kit,2200,https://github.com/http-kit/http-kit
onyx-platform,onyx,2000,https://github.com/onyx-platform/onyx
anmonteiro,lumo,1800,https://github.com/anmonteiro/lumo
defold,defold,1800,https://github.com/defold/defold
boot-clj,boot,1700,https://github.com/boot-clj/boot
walmartlabs,lacinia,1600,https://github.com/walmartlabs/lacinia
