username,repo_name,stars,url
aspnetboilerplate,aspnetboilerplate,9900,https://github.com/aspnetboilerplate/aspnetboilerplate
dotnet,AspNetCore.Docs,9800,https://github.com/dotnet/AspNetCore.Docs
bitwarden,server,8500,https://github.com/bitwarden/server
nopSolutions,nopCommerce,6700,https://github.com/nopSolutions/nopCommerce
ElectronNET,Electron.NET,6000,https://github.com/ElectronNET/Electron.NET
RicoSuter,NSwag,4700,https://github.com/RicoSuter/NSwag
thangchung,clean-code-dotnet,4200,https://github.com/thangchung/clean-code-dotnet
JimBobSquarePants,ImageProcessor,2400,https://github.com/JimBobSquarePants/ImageProcessor
smartstore,SmartStoreNET,2300,https://github.com/smartstore/SmartStoreNET
dotnet,aspnet-api-versioning,2100,https://github.com/dotnet/aspnet-api-versioning
loic-sharma,BaGet,1800,https://github.com/loic-sharma/BaGet
TrilonIO,aspnetcore-angular-universal,1500,https://github.com/TrilonIO/aspnetcore-angular-universal
mjebrahimi,Awesome-Microservices-NetCore,1400,https://github.com/mjebrahimi/Awesome-Microservices-NetCore
TrilonIO,aspnetcore-Vue-starter,1200,https://github.com/TrilonIO/aspnetcore-Vue-starter
lampo1024,DncZeus,1200,https://github.com/lampo1024/DncZeus
MarimerLLC,csla,953,https://github.com/MarimerLLC/csla
riganti,dotvvm,567,https://github.com/riganti/dotvvm
cornflourblue,aspnet-core-3-jwt-authentication-api,558,https://github.com/cornflourblue/aspnet-core-3-jwt-authentication-api
antonioCoco,SharPyShell,482,https://github.com/antonioCoco/SharPyShell
chsakell,mvcarchitecture,448,https://github.com/chsakell/mvcarchitecture
brthor,Gofer.NET,416,https://github.com/brthor/Gofer.NET
YAFNET,YAFNET,407,https://github.com/YAFNET/YAFNET
Maarten88,rrod,377,https://github.com/Maarten88/rrod
SapphireDb,SapphireDb,352,https://github.com/SapphireDb/SapphireDb
IvanJosipovic,BlazorTable,344,https://github.com/IvanJosipovic/BlazorTable
Taritsyn,WebMarkupMin,335,https://github.com/Taritsyn/WebMarkupMin
chsakell,aspnet-core-identity,301,https://github.com/chsakell/aspnet-core-identity
EEParker,aspnetcore-vueclimiddleware,294,https://github.com/EEParker/aspnetcore-vueclimiddleware
ALMMa,datatables.aspnet,283,https://github.com/ALMMa/datatables.aspnet
cornflourblue,aspnet-core-jwt-authentication-api,276,https://github.com/cornflourblue/aspnet-core-jwt-authentication-api
